date,ethnicity,sex,age,sensitive_0,feature_0,predicted_outcome,recorded_outcome
1994-01-01,2,2,2,0,1,0.3249397688000452,0.5432387709680894
1994-01-01,2,2,3,1,1,0.6430696674751897,0.2390641688380068
1994-01-01,2,2,4,0,2,0.6134257267821015,0.7363759541768893
1994-01-01,2,2,4,0,2,0.7756573845414456,0.3168445141822272
1994-01-01,2,2,2,0,2,0.0860396001110384,0.7308030210511118
1994-01-01,2,2,3,0,2,0.7115532300622305,0.9555030561801484
1994-01-01,2,2,3,0,2,0.9903820991923078,0.2875846374180857
1994-01-01,2,2,4,1,1,0.4682076268695309,0.8755784440659811
1994-01-01,2,2,3,1,1,0.4723857257450298,0.112893259274576
1994-01-01,2,2,4,0,1,0.6960587590970753,0.6453216337263972
1994-01-01,2,2,4,1,2,0.1796289751530704,0.0435176261073866
1994-01-01,2,2,3,1,2,0.8645248536920208,0.7119839544287268
1994-01-01,2,2,2,0,2,0.2436024716964443,0.6788723416090334
1994-01-01,2,2,3,1,2,0.5298389483047842,0.9798526823528052
1994-01-01,2,2,2,0,1,0.6990221276652158,0.4614738692963216
1994-01-01,2,2,3,1,2,0.02264398926311,0.8831529550713544
1994-01-01,2,2,3,0,2,0.59124586522675,0.3086827793557013
1994-01-01,2,2,3,1,1,0.0450573439836523,0.261301112969648
1994-01-01,2,2,3,1,2,0.7657756869209191,0.2713399312555196
1994-01-01,2,2,4,0,1,0.765913793548433,0.4572335623831611
1994-01-01,2,2,3,0,1,0.8172004792756605,0.4366196908179404
1994-01-01,2,2,5,0,1,0.9247158970388948,0.8918674341357486
1994-01-01,2,2,6,1,1,0.8622276624303176,0.7567769095224361
1994-01-01,2,2,4,1,1,0.8055117553387914,0.7744465030410773
1994-01-01,2,2,5,1,1,0.3601461772648844,0.0224128942357814
1994-01-01,2,2,3,0,1,0.3804969028054629,0.276344793071601
1994-01-01,2,2,4,1,2,0.680894327811157,0.7979811824412273
1994-01-01,2,2,5,0,2,0.0324769258872325,0.5420000725373617
1994-01-01,2,2,4,0,1,0.6468570231944146,0.1007002241043621
1994-01-01,2,2,3,0,2,0.0611168444426616,0.145202068468993
1994-01-01,2,2,7,0,2,0.370536404642921,0.9345783277671954
1994-01-01,2,2,2,1,1,0.4057480406350424,0.8803050031506263
1994-01-01,2,2,4,1,2,0.7154313816648219,0.2466569012761534
1994-01-01,2,2,3,1,2,0.7468425488251531,0.8578955932747651
1994-01-01,2,2,7,0,2,0.1451655334365036,0.150224235610233
1994-01-01,2,2,2,0,2,0.2445688784406288,0.9509552314561978
1994-01-01,2,2,3,1,2,0.7131756534814041,0.9950936885280768
1994-01-01,2,2,2,0,1,0.3549192004277709,0.3947389774836825
1994-01-01,2,2,5,0,1,0.9720800091019398,0.2181019074164719
1994-01-01,2,2,3,1,1,0.7509183379421682,0.2967975380001783
1994-01-01,2,2,2,0,1,0.8119764758960556,0.0347976456004121
1994-01-01,2,2,5,1,1,0.5578091975396479,0.1860541688542038
1994-01-01,2,2,2,0,1,0.269267027353152,0.7790499594969378
1994-01-01,2,2,6,1,3,0.7074131059768158,0.978177920719451
1994-01-01,2,2,5,1,2,0.4782975652546437,0.2582832009465669
1994-01-01,2,2,7,1,1,0.2811187636010459,0.0416694694113273
1994-01-01,2,2,5,0,1,0.1010616780745697,0.1921220391141717
1994-01-01,2,2,3,0,1,0.9927798928053524,0.9966347913491224
1994-01-01,2,2,3,0,2,0.3113825996642708,0.5006065756378921
1994-01-01,2,2,6,0,1,0.1701425746743296,0.0499672286000904
1994-01-01,2,2,3,1,2,0.5603143329951619,0.8856521666645665
1994-01-01,2,2,5,1,1,0.9131704002534168,0.8413041357521928
1994-01-01,2,2,4,0,1,0.8015300642054637,0.416204223204957
1994-01-01,2,2,5,0,2,0.7725340032332324,0.4809374789867395
1994-01-01,2,2,6,1,1,0.6713819168871542,0.7693360754663854
1994-01-01,2,2,2,0,2,0.6520603945135921,0.677853107268486
1994-01-01,2,2,3,1,1,0.7085111055123507,0.7871359842465144
1994-01-01,2,2,2,0,2,0.8406503828963983,0.1125536427845444
1994-01-01,2,2,4,0,2,0.9377284208975876,0.7771889757761051
1994-01-01,2,2,3,1,2,0.1697913208644811,0.4485219009603854
1994-01-01,2,2,4,0,2,0.1249018968135489,0.9546552533130476
1994-01-01,2,2,3,1,1,0.0340485564811071,0.3805277088203634
1994-01-01,2,2,4,0,1,0.8124517510478,0.7115031355395512
1994-01-01,2,2,5,1,1,0.3087936820756064,0.6780983799196619
1994-01-01,2,2,2,0,1,0.9211712188101286,0.0935184947181271
1994-01-01,2,2,4,0,2,0.5415974941662194,0.7384975930775858
1994-01-01,2,2,3,0,2,0.1708509297209646,0.1507155059091649
1994-01-01,2,2,3,0,2,0.6218331872684371,0.4803898313684875
1994-01-01,2,2,4,1,2,0.5971114802893854,0.967535354274247
1994-01-01,2,2,3,0,3,0.7862284787457365,0.8797370749278012
1994-01-01,2,2,3,0,1,0.2679065544960952,0.6318710193623798
1994-01-01,2,2,3,1,1,0.9426634131375696,0.1511692894070254
1994-01-01,2,2,6,1,2,0.8136244860256343,0.7523829667825029
1994-01-01,2,2,5,1,1,0.8617081790949774,0.4588178652383134
1994-01-01,2,2,4,1,1,0.4749737225928007,0.0120800303654965
1994-01-01,2,2,6,0,2,0.4611136277420435,0.4507576188826063
1994-01-01,2,2,4,0,1,0.7783925961971443,0.9635701033805788
1994-01-01,2,2,2,0,1,0.3621031779298312,0.1884507850032761
1994-01-01,2,2,5,0,2,0.2332270886848378,0.932485125547122
1994-01-01,2,2,4,1,1,0.1650937873906106,0.9722472911343988
1994-01-01,2,2,5,1,2,0.3397299781953543,0.0624243089314261
1994-01-01,2,2,2,0,2,0.8459851477659098,0.0943648414770789
1994-01-01,2,2,4,0,1,0.777191624858886,0.5880001929888177
1994-01-01,2,2,4,0,2,0.6944752870615722,0.9118457700697724
1994-01-01,2,2,3,0,1,0.962566244806993,0.8990265195975691
1994-01-01,2,2,4,1,2,0.9208349984563582,0.4132378654625784
1994-01-01,2,2,2,0,2,0.0708919543213192,0.3678041571683509
1994-01-01,2,2,4,1,2,0.0338495479229658,0.7716256877528719
1994-01-01,2,2,3,1,1,0.4777512346287108,0.2277436750736053
1994-01-01,2,2,2,0,2,0.0386266781309456,0.5643004961682584
1994-01-01,2,2,4,1,2,0.4853203477740623,0.477343871450094
1994-01-01,2,2,4,1,2,0.3440782139636615,0.6246819994792692
1994-01-01,2,2,6,1,2,0.6779574328587298,0.2034882947058297
1994-01-01,2,2,6,0,1,0.8812739068927169,0.7361290047116907
1994-01-01,2,2,3,1,2,0.4651228852129263,0.9960324304662947
1994-01-01,2,2,6,1,1,0.8458508993500886,0.2044016385269459
1994-01-01,2,2,4,1,3,0.5755637261740401,0.1965337598803835
1994-01-01,2,2,2,0,2,0.6994381463630783,0.7368735246117444
1994-01-01,2,2,3,0,1,0.6204279488618123,0.2359809046469971
1994-01-01,2,2,4,0,1,0.4288731352676548,0.462081730281823
1994-01-01,2,2,4,1,1,0.2962836006939285,0.1981165654725323
1994-01-01,2,2,3,0,2,0.8333122750820359,0.3566071034640241
1994-01-01,2,2,6,0,1,0.5529542425284069,0.0392092088312152
1994-01-01,2,2,3,1,1,0.5654474753320404,0.6515142616228844
1994-01-01,2,2,5,1,1,0.2729284816541279,0.9625897954971084
1994-01-01,2,2,5,1,1,0.4724726352946713,0.8443185759131429
1994-01-01,2,2,6,0,1,0.2715678718836203,0.2349216753057975
1994-01-01,2,2,6,1,1,0.3895169191775312,0.1348196032924279
1994-01-01,2,2,3,1,1,0.3232650166486842,0.7318587817489496
1994-01-01,2,2,7,0,2,0.3394007660843139,0.2211367612309932
1994-01-01,2,2,4,0,1,0.2651555165065787,0.4742394538305204
1994-01-01,2,2,6,1,2,0.6771323377958393,0.4285247141075197
1994-01-01,2,2,2,1,1,0.5855409146025495,0.3446454157089571
1994-01-01,2,2,3,0,1,0.9145563172509452,0.1036862407240211
1994-01-01,2,2,2,1,2,0.1433144131450388,0.97907521143916
1994-01-01,2,2,3,1,2,0.0215307393225958,0.6888858335034995
1994-01-01,2,2,4,1,2,0.7892757340544165,0.8012967426860154
1994-01-01,2,2,2,1,1,0.1851421396444207,0.9155238353057776
1994-01-01,2,2,5,1,1,0.432018237215879,0.956917921513348
1994-01-01,2,2,4,1,1,0.4304735080625311,0.8797408053100242
1994-01-01,2,2,3,1,2,0.9526707878308048,0.5981404826162764
1994-01-01,2,2,4,0,1,0.2080999474249245,0.8012510773307155
1994-01-01,2,2,4,1,1,0.2688948558647862,0.4015258468941192
1994-01-01,2,2,4,1,1,0.7600050765362417,0.7182413107590496
1994-01-01,2,2,5,1,2,0.2151450451256385,0.6253668131443544
1994-01-01,2,2,4,1,1,0.3456365420746178,0.2478066565931881
1994-01-01,2,2,3,0,2,0.6287710320770415,0.7092169402132522
1994-01-01,2,2,5,0,2,0.7821795214623908,0.918689931871808
1994-01-01,2,2,5,0,1,0.9034843420685896,0.9428516188955208
1994-01-01,2,2,3,1,1,0.6971850269763874,0.2291242434657938
1994-01-01,2,2,5,1,2,0.8655365179222785,0.1145495252286694
1994-01-01,2,2,6,0,2,0.5805345072146074,0.2529090345171871
1994-01-01,2,2,3,0,2,0.2279112721709286,0.3758232646967644
1994-01-01,2,2,4,1,1,0.9329322291516324,0.7787239937703148
1994-01-01,2,2,7,1,1,0.9917608046017778,0.6484760201245905
1994-01-01,2,2,4,0,2,0.1628415975602849,0.9599649405769812
1994-01-01,2,2,3,0,1,0.4300954784200112,0.4759706001729253
1994-01-01,2,2,4,0,2,0.6022714297732139,0.9257811259086663
1994-01-01,2,2,2,1,2,0.7253182452593674,0.1200265993635769
1994-01-01,2,2,6,0,1,0.773881786314427,0.4894029885362974
1994-01-01,2,2,6,1,2,0.5466633551849104,0.8917019276412271
1994-01-01,2,2,5,1,1,0.6484303877403397,0.8275813542843344
1994-01-01,2,2,4,0,1,0.1527216472637378,0.3928377254637113
1994-01-01,2,2,4,0,1,0.3872185318626719,0.8114944717436594
1994-01-01,2,2,6,1,1,0.728705998761806,0.9891959215078872
1994-01-01,2,2,4,0,1,0.3345757643459968,0.9508680181089064
1994-01-01,2,2,4,1,1,0.8709310759210187,0.5437316832086798
1994-01-01,2,2,3,1,2,0.285213828808934,0.2014391759675589
1994-01-01,2,2,2,1,3,0.854348697721373,0.9900224102740102
1994-01-01,2,2,5,1,1,0.9196216739025418,0.958286349610744
1994-01-01,2,2,3,0,2,0.4334381827628708,0.7324873164250708
1994-01-01,2,2,3,1,2,0.1235808208326666,0.843064735544691
1994-01-01,2,2,2,0,2,0.4668072022301164,0.8372978323518817
1994-01-01,2,2,6,1,1,0.3209436454398969,0.7965298824430933
1994-01-01,2,2,4,0,1,0.8326307326748414,0.3317035895151746
1994-01-01,2,2,4,0,1,0.1954580672799572,0.3575821671340971
1994-01-01,2,2,3,1,2,0.8324362244016472,0.1033379342213093
1994-01-01,2,2,5,1,1,0.2913552525940133,0.3036184370497653
1994-01-01,2,2,3,0,2,0.8481556341177032,0.329455970691834
1994-01-01,2,2,2,1,1,0.4690104624234106,0.7355115867578208
1994-01-01,2,2,4,1,2,0.7191071921886123,0.5356207948542131
1994-01-01,2,2,3,1,1,0.8825480476196532,0.2886422551464577
1994-01-01,2,2,2,0,1,0.1736523314149176,0.8989295309603225
1994-01-01,2,2,2,1,3,0.5424520815959089,0.6716820950793064
1994-01-01,2,2,3,1,1,0.1836363595219014,0.3066401702049433
1994-01-01,2,2,3,1,2,0.2495670832782315,0.1674412723340091
1994-01-01,2,2,6,1,2,0.668533191723805,0.8508839256496185
1994-01-01,2,2,3,0,1,0.9637882897876948,0.1966203777873429
1994-01-01,2,2,4,0,2,0.875358500171584,0.7706662458628891
1994-01-01,2,2,4,1,2,0.2446162136125205,0.7096881241367813
1994-01-01,2,2,2,1,1,0.2241617864084544,0.7935350617862551
1994-01-01,2,2,3,0,2,0.4432863619261569,0.3455664917086395
1994-01-01,2,2,2,0,1,0.9296945378403056,0.6649740246367061
1994-01-01,2,2,3,1,3,0.422368644359032,0.1142033146074207
1994-01-01,2,2,3,0,1,0.4654540834190661,0.8833913532436359
1994-01-01,2,2,2,0,1,0.4529646345726311,0.914047506293324
1994-01-01,2,2,2,0,2,0.4237827705342796,0.4303213903696097
1994-01-01,2,2,6,1,2,0.569207786390795,0.0765712635628496
1994-01-01,2,2,2,0,2,0.047374872714923,0.1650513784118941
1994-01-01,2,2,4,1,1,0.3002528556811931,0.0712759105832441
1994-01-01,2,2,3,1,1,0.7811091893654528,0.5803157926726079
1994-01-01,2,2,5,0,2,0.5611217748162525,0.3279248337999825
1994-01-01,2,2,2,0,1,0.1319629272701555,0.9022833283799648
1994-01-01,2,2,2,0,1,0.9058221741420108,0.7333197227880807
1994-01-01,2,2,2,1,1,0.7339937870283747,0.297616561204626
1994-01-01,2,2,4,0,1,0.0754934037222141,0.3851855745578843
1994-01-01,2,2,3,0,2,0.5037131892723066,0.0494003212711257
1994-01-01,2,2,3,1,2,0.4857453851816483,0.6847765160457964
1994-01-01,2,2,3,0,2,0.2765701259356586,0.0161033725099482
1994-01-01,2,2,3,0,1,0.791087729572935,0.1299360344765188
1994-01-01,2,2,2,1,2,0.4543703722895132,0.7937838061535976
1994-01-01,2,2,3,0,1,0.8588787811397788,0.7866532542956493
1994-01-01,2,2,6,0,2,0.6894929248494588,0.7166126506021866
1994-01-01,2,2,4,1,1,0.1009105451917002,0.3951562202012219
1994-01-01,2,2,5,0,1,0.4596414017448629,0.2870589881498546
1994-01-01,2,2,3,0,2,0.3312619979564486,0.1628329324751169
1994-01-01,2,2,2,0,2,0.516098967468962,0.9400061307549844
1994-01-01,2,2,2,0,1,0.872390327570883,0.8297061077032963
1994-01-01,2,2,3,1,1,0.7364565011192276,0.2162693254766581
1994-01-01,2,2,5,0,1,0.5608771777365269,0.7033078922746867
1994-01-01,2,2,6,1,3,0.771317962894253,0.027623218056666
1994-01-01,2,2,2,1,2,0.5333872216125024,0.324410640020379
1994-01-01,2,2,6,0,1,0.8266824356765203,0.0704985257222796
1994-01-01,2,2,4,0,2,0.2429109665762336,0.4264385023255257
1994-01-01,2,2,6,0,1,0.166426459250459,0.965397826749769
1994-01-01,2,2,6,1,1,0.7868870568294122,0.5609983706407617
1994-01-01,2,2,3,0,1,0.1461498376822859,0.645666045460705
1994-01-01,2,2,4,0,1,0.128807540301192,0.8669236723023505
1994-01-01,2,2,4,0,2,0.2299099221873607,0.6489855372927177
1994-01-01,2,2,2,1,1,0.3262822787856888,0.5563190487400158
1994-01-01,2,2,4,0,2,0.8961496509222953,0.1134185615091047
1994-01-01,2,2,4,0,2,0.7593582954452526,0.7719773432883075
1994-01-01,2,2,3,0,2,0.0279442405577029,0.1649888832172009
1994-01-01,2,2,2,1,1,0.8940935868007327,0.3610476066887476
1994-01-01,2,2,4,0,1,0.0873685648406728,0.9479769794187628
1994-01-01,2,2,6,1,2,0.4419456981153842,0.45581534767427
1994-01-01,2,2,3,1,1,0.150655840273955,0.9773045537540628
1994-01-01,2,2,5,1,1,0.0673779841465434,0.274453269916985
1994-01-01,2,2,5,1,1,0.9227664982812844,0.8393163446236814
1994-01-01,2,2,3,0,1,0.4085364167913596,0.7845955407840561
1994-01-01,2,2,3,1,1,0.7086455304516721,0.7468745828035774
1994-01-01,2,2,4,1,2,0.9945172536976497,0.5905888363881484
1994-01-01,2,2,3,1,2,0.3422501566032248,0.914681239089766
1994-01-01,2,2,4,1,2,0.4266172095632931,0.6384327955672249
1994-01-01,2,2,3,0,1,0.2939378703814733,0.442479006419473
1994-01-01,2,2,2,0,2,0.1050856198363877,0.0458245507340699
1994-01-01,2,2,5,1,1,0.3459085089699204,0.4335261197981968
1994-01-01,2,2,4,1,1,0.7511081676613935,0.7397297126857985
1994-01-01,2,2,2,1,2,0.6568344750260637,0.1804118756781035
1994-01-01,2,2,4,1,1,0.5236697686188685,0.0040575147878701
1994-01-01,2,2,3,1,2,0.6208428186226989,0.1019103609562845
1994-01-01,2,2,4,0,1,0.332001336884362,0.0729253576502898
1994-01-01,2,2,2,0,2,0.619124952856206,0.4298834073460933
1994-01-01,2,2,4,1,1,0.2758072879093688,0.4429026731916842
1994-01-01,2,2,7,1,1,0.1013075684446337,0.3235727235052422
1994-01-01,2,2,3,1,1,0.5216114460398233,0.3994815176593275
1994-01-01,2,2,3,0,1,0.4435991986774227,0.8252055831228319
1994-01-01,2,2,3,1,2,0.3577459936768399,0.7304494435220334
1994-01-01,2,2,2,0,2,0.7697524112768677,0.5999788978546626
1994-01-01,2,2,4,0,1,0.8131546808549281,0.2545913033319732
1994-01-01,2,2,2,0,1,0.5027727042034522,0.8806908967150957
1994-01-01,2,2,6,1,1,0.1585429963705098,0.6205487279427884
1994-01-01,2,2,2,1,2,0.9941642673111936,0.991571817288049
1994-01-01,2,2,5,1,1,0.687592763741399,0.9322037602573384
1994-01-01,2,2,6,0,1,0.5485190793194306,0.9630476912684564
1994-01-01,2,2,4,1,2,0.048442817724701,0.9982337805188533
1994-01-01,2,2,6,0,1,0.2726794851920348,0.6790296113161571
1994-01-01,2,2,3,0,1,0.6709153067825082,0.1194858971441907
1994-01-01,2,2,3,1,1,0.8994613666075066,0.5398863337416526
1994-01-01,2,2,5,1,2,0.2654346448125555,0.155675905846654
1994-01-01,2,2,3,1,1,0.1269301757488629,0.2506606185647248
1994-01-01,2,2,6,0,1,0.1277707646406548,0.2805543741707466
1994-01-01,2,2,4,1,1,0.3051629092240901,0.4615741221107942
1994-01-01,2,2,5,1,2,0.1968700732829486,0.4294172077970841
1994-01-01,2,2,4,0,2,0.5955034776852106,0.6142988097777298
1994-01-01,2,2,3,0,1,0.47488601254211,0.8982765274769617
1994-01-01,2,2,3,0,2,0.4808522480592585,0.7502761166275842
1994-01-01,2,2,3,1,2,0.0703617303740491,0.1547745937855659
1994-01-01,2,2,4,0,1,0.5126211788998218,0.0064578883702197
1994-01-01,2,2,5,1,1,0.6334529073955674,0.4636346707695113
1994-01-01,2,2,7,1,1,0.7510355501633714,0.2654770288305821
1994-01-01,2,2,2,0,1,0.5337243175650259,0.6326944713818252
1994-01-01,2,2,5,0,2,0.9965166305473958,0.7314988905216389
1994-01-01,2,2,6,1,2,0.6182311980990145,0.1247331580027595
1994-01-01,2,2,2,1,3,0.6871460911727241,0.5973861968056553
1994-01-01,2,2,3,1,2,0.2847415109273298,0.7777644987071662
1994-01-01,2,2,3,1,1,0.5527229330527255,0.2797303324192665
1994-01-01,2,2,6,1,1,0.2087108552495298,0.7653970094360711
1994-01-01,2,2,4,0,1,0.6503050677516024,0.6358155350749677
1994-01-01,2,2,4,1,2,0.8172211339497195,0.9518474478594184
1994-01-01,2,2,3,1,2,0.6406173907264543,0.1026057066358362
1994-01-01,2,2,3,1,2,0.6811383804882881,0.6206315795703135
1994-01-01,2,2,4,0,2,0.1051105444306236,0.8099719406843898
1994-01-01,2,2,4,1,1,0.4834302825988049,0.7993219394439306
1994-01-01,2,2,2,1,2,0.3051419948282391,0.9744147208194214
1994-01-01,2,2,6,0,1,0.1419878897236166,0.4572911191546783
1994-01-01,2,2,5,0,2,0.316856808498012,0.6203270729758267
1994-01-01,2,2,6,0,2,0.6465762343135897,0.5412640952986818
1994-01-01,2,2,4,1,2,0.816025247400864,0.2718369917779096
1994-01-01,2,2,4,1,2,0.5130983026254219,0.2485701299098179
1994-01-01,2,2,3,0,1,0.0029264458883533,0.2070332922454882
1994-01-01,2,2,2,0,2,0.508059315211687,0.0494132271443221
1994-01-01,2,2,4,1,2,0.2164986935520256,0.605700401361787
1994-01-01,2,2,4,0,1,0.8885812307853012,0.1881050883413383
1994-01-01,2,2,5,0,2,0.5229476161010853,0.4166261208740182
1994-01-01,2,2,4,0,2,0.0331325104330639,0.3900824548550976
1994-01-01,2,2,5,1,2,0.2157738245856131,0.5179816502664669
1994-01-01,2,2,6,0,2,0.4181680075281289,0.3709722671777867
1994-01-01,2,2,2,1,1,0.8550808256603493,0.3092590658251825
1994-01-01,2,2,3,1,2,0.0436957400414055,0.1836750554665568
1994-01-01,2,2,3,1,2,0.714906668943291,0.3298961159242564
1994-01-01,2,2,7,0,2,0.9364394571609036,0.1804800530439412
1994-01-01,2,2,3,1,2,0.6779788339868074,0.3249050318932433
1994-01-01,2,2,3,1,1,0.3698168879178248,0.2268083687749079
1994-01-01,2,2,3,1,3,0.4126068812362261,0.7999732315435752
1994-01-01,2,2,2,0,2,0.028926153494932,0.2547523448468532
1994-01-01,2,2,4,0,2,0.9163580986416064,0.7831800454870402
1994-01-01,2,2,2,0,1,0.923027419098232,0.7892285992790089
1994-01-01,2,2,2,0,2,0.5619615049619722,0.731860201076582
1994-01-01,2,2,6,1,2,0.7982434491708685,0.4435199746139677
1994-01-01,2,2,5,0,1,0.310499637223698,0.9159115397934294
1994-01-01,2,2,3,1,1,0.1070742841773871,0.3906559322837532
1994-01-01,2,2,7,1,1,0.366319176463375,0.5088712584299067
1994-01-01,2,2,4,1,1,0.5424111387226168,0.6735524113563494
1994-01-01,2,2,3,1,1,0.0849167913667925,0.9440013452584743
1994-01-01,2,2,4,0,2,0.9375622669366124,0.2083584916832201
1994-01-01,2,2,2,1,1,0.6817881589938066,0.6035673891297326
1994-01-01,2,2,4,1,2,0.7699799676062793,0.7764159780796319
1994-01-01,2,2,5,1,2,0.2059248451660241,0.796277848604813
1994-01-01,2,2,3,1,3,0.61273168015298,0.2639602070366684
1994-01-01,2,2,4,1,2,0.1685404791008983,0.2534135007346002
1994-01-01,2,2,3,1,2,0.8304758975148017,0.5483248783822977
1994-01-01,2,2,2,0,1,0.6491226966586647,0.1644009061798047
1994-01-01,2,2,3,0,1,0.36708600768953,0.4570151254451871
1994-01-01,2,2,4,1,1,0.3772127745156595,0.5142211859344135
1994-01-01,2,2,5,0,2,0.9661753307710408,0.2045375763174204
1994-01-01,2,2,4,0,1,0.0403885468708458,0.2997002772529186
1994-01-01,2,2,4,1,1,0.9741261858090706,0.4094216508449726
1994-01-01,2,2,4,0,2,0.3124706163212022,0.0991228100250929
1994-01-01,2,2,6,1,2,0.7502807104245506,0.7708742342824381
1994-01-01,2,2,7,1,2,0.5017661054831242,0.1414517823563786
1994-01-01,2,2,3,1,2,0.7404445219374811,0.2274693797283537
1994-01-01,2,2,3,1,1,0.9637274992813258,0.0035043807056734
1994-01-01,2,2,4,1,2,0.5991828445133596,0.1082065486156437
1994-01-01,2,2,3,1,1,0.5260455671947495,0.2742803411056931
1994-01-01,2,2,2,0,2,0.4280154893910291,0.8807827853971244
1994-01-01,2,2,3,1,1,0.3075403961806202,0.6074823322334815
1994-01-01,2,2,4,1,2,0.3227682969032982,0.5600800123729078
1994-01-01,2,2,3,1,2,0.4012698515300758,0.4406740518038404
1994-01-01,2,2,4,0,2,0.0884759959809736,0.9296082343419092
1994-01-01,2,2,6,0,2,0.8404514994974782,0.912714695673793
1994-01-01,2,2,4,0,1,0.9521129970321088,0.2256696695756679
1994-01-01,2,2,3,1,1,0.2756685116754782,0.5418987039417068
1994-01-01,2,2,6,1,2,0.9059766562180622,0.9165323834126302
1994-01-01,2,2,5,0,2,0.0611635540179235,0.4269178480264989
1994-01-01,2,2,3,1,1,0.6747831140137799,0.7505721402981129
1994-01-01,2,2,5,0,1,0.394475541613119,0.0820932004370118
1994-01-01,2,2,4,0,1,0.8773985407863916,0.7134093448263557
1994-01-01,2,2,2,1,2,0.1234950471922391,0.045207199218268
1994-01-01,2,2,2,0,1,0.6211099032461336,0.3995294200234435
1994-01-01,2,2,5,1,2,0.062090862248684,0.2969804366939151
1994-01-01,2,2,5,1,2,0.95400554183152,0.4112026910843881
1994-01-01,2,2,4,0,2,0.6743986580434955,0.8327424688653826
1994-01-01,2,2,3,0,2,0.289646432871623,0.5828331886714282
1994-01-01,2,2,3,0,1,0.6369211058265378,0.4781096065542222
1994-01-01,2,2,3,0,1,0.2756815370827525,0.6370826214320073
1994-01-01,2,2,6,1,2,0.6681697644983973,0.7082947798855824
1994-01-01,2,2,7,1,1,0.6635499463077505,0.0294562525710205
1994-01-01,2,2,2,1,1,0.3738188850091724,0.8321597490702253
1994-01-01,2,2,7,1,1,0.0865980581638653,0.278836165871138
1994-01-01,2,2,4,1,2,0.854811614279549,0.6469044343474448
1994-01-01,2,2,3,0,1,0.9796726126294484,0.3526414124942975
1994-01-01,2,2,2,1,1,0.711271676554029,0.4331617920416823
1994-01-01,2,2,3,0,2,0.3924699534360326,0.2463440709728305
1994-01-01,2,2,3,1,1,0.4073559352250522,0.1137605128593278
1994-01-01,2,2,2,1,2,0.6505266791005999,0.1545358328963955
1994-01-01,2,2,3,1,2,0.2386966286115234,0.8370337900102855
1994-01-01,2,2,4,0,1,0.4209145243769759,0.0646222726933392
1994-01-01,2,2,6,0,1,0.8014660983534616,0.3437929106807836
1994-01-01,2,2,4,1,3,0.6820937248782235,0.5014945440775986
1994-01-01,2,2,4,0,1,0.0646268890101239,0.3963143179104283
1994-01-01,2,2,3,0,2,0.5956678603602783,0.8965237174057243
1994-01-01,2,2,7,1,2,0.8384529298263803,0.8207624105608082
1994-01-01,2,2,2,0,2,0.60775272363783,0.9956675404557837
1994-01-01,2,2,3,0,2,0.1174777673397849,0.2195920184818974
1994-01-01,2,2,4,0,1,0.8708802110724384,0.3836775763760874
1994-01-01,2,2,4,0,2,0.7798689478223559,0.5158480284547803
1994-01-01,2,2,6,0,1,0.6674182064335097,0.1401735220507259
1994-01-01,2,2,5,1,2,0.7714943912725968,0.1781146236968488
1994-01-01,2,2,4,1,1,0.1086105233446317,0.9744941189021938
