,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ethnicity,sex,feature_0,country,state,date,predicted_outcome,sensitive_0,feature_1,feature_2,age
0,0,0,0,0,2,2,1,US,US,1994-01-01,0,0,2,2,4
1,1,1,1,1,2,2,1,US,US,1994-01-01,1,1,2,4,4
2,2,2,2,2,2,2,2,US,US,1994-01-01,0,0,2,4,3
3,3,3,3,3,2,2,2,US,US,1994-01-01,1,0,2,2,2
4,4,4,4,4,2,2,2,US,US,1994-01-01,0,0,2,2,5
5,5,5,5,5,2,2,2,US,US,1994-01-01,1,1,2,2,6
6,6,6,6,6,2,2,2,US,US,1994-01-01,1,0,2,4,5
7,7,7,7,7,2,2,1,US,US,1994-01-01,1,0,2,4,4
8,8,8,8,8,2,2,1,US,US,1994-01-01,0,0,4,2,3
9,9,9,9,9,2,2,1,US,US,1994-01-01,1,1,2,2,4
10,10,10,10,10,2,2,2,US,US,1994-01-01,0,0,4,2,4
11,11,11,11,11,2,2,2,US,US,1994-01-01,0,0,2,2,3
12,12,12,12,12,2,2,2,US,US,1994-01-01,0,0,2,2,4
13,13,13,13,13,2,2,2,US,US,1994-01-01,1,0,2,2,3
14,14,14,14,14,2,2,1,US,US,1994-01-01,0,0,2,4,4
15,15,15,15,15,2,2,2,US,US,1994-01-01,0,1,4,4,4
16,16,16,16,16,2,2,2,US,US,1994-01-01,0,1,2,4,2
17,17,17,17,17,2,2,1,US,US,1994-01-01,0,1,2,2,6
18,18,18,18,18,2,2,2,US,US,1994-01-01,1,1,4,4,6
19,19,19,19,19,2,2,1,US,US,1994-01-01,0,0,2,2,3
20,20,20,20,20,2,2,1,US,US,1994-01-01,1,0,2,2,3
21,21,21,21,21,2,2,1,US,US,1994-01-01,1,1,2,4,7
22,22,22,22,22,2,2,1,US,US,1994-01-01,1,1,4,4,7
23,23,23,23,23,2,2,1,US,US,1994-01-01,1,1,4,4,4
24,24,24,24,24,2,2,1,US,US,1994-01-01,0,1,2,4,2
25,25,25,25,25,2,2,1,US,US,1994-01-01,0,1,2,4,5
