date,ethnicity,sex,age,sensitive_0,feature_0,feature_1,feature_2,outcome,predicted_outcome
1994-01-01,2,2,5,0,1,0.6964691855978616,0.6631423853062148,0,1
1994-01-01,2,2,2,1,1,0.2861393349503794,0.8397864046946151,1,0
1994-01-01,2,2,2,0,2,0.2268514535642031,0.8236543842329519,1,1
1994-01-01,2,2,3,0,2,0.5513147690828912,0.3676118592931143,1,0
1994-01-01,2,2,4,0,2,0.7194689697855631,0.1755910206347724,0,1
1994-01-01,2,2,3,0,2,0.4231064601244609,0.1126604594454404,1,1
1994-01-01,2,2,6,0,2,0.9807641983846156,0.6776089826262232,1,0
1994-01-01,2,2,4,1,1,0.6848297385848633,0.9555257691214916,0,1
1994-01-01,2,2,3,1,1,0.4809319014843609,0.964052501520469,0,0
1994-01-01,2,2,4,0,1,0.3921175181941505,0.3529602786203122,1,1
1994-01-01,2,2,4,1,2,0.3431780161508694,0.3665897452103479,0,0
1994-01-01,2,2,2,1,2,0.7290497073840416,0.5459743037749725,1,1
1994-01-01,2,2,4,0,2,0.4385722446796244,0.4971479014213149,0,1
1994-01-01,2,2,3,1,2,0.0596778966095683,0.1845134609838867,1,1
1994-01-01,2,2,4,0,1,0.3980442553304314,0.9083748277415218,1,0
1994-01-01,2,2,5,1,2,0.7379954057320357,0.0462122229859388,0,1
1994-01-01,2,2,4,0,2,0.1824917304534999,0.1492070010046182,1,0
1994-01-01,2,2,4,1,1,0.1754517561474925,0.0919537632319436,0,0
1994-01-01,2,2,2,1,2,0.5315513738418384,0.126036195513745,1,0
1994-01-01,2,2,6,0,1,0.5318275870968661,0.4746633860055861,1,0
1994-01-01,2,2,7,0,1,0.6344009585513211,0.1098144531125004,1,0
1994-01-01,2,2,3,0,1,0.8494317940777896,0.1437157382796149,1,1
1994-01-01,2,2,3,1,1,0.7244553248606352,0.3069615605965005,1,1
1994-01-01,2,2,4,1,1,0.6110235106775829,0.5439022847415202,1,1
1994-01-01,2,2,3,1,1,0.7224433825702216,0.734992198499764,0,0
1994-01-01,2,2,3,0,1,0.3229589138531782,0.7765242914397203,0,0
1994-01-01,2,2,6,1,2,0.3617886556223141,0.3960190958657181,1,1
1994-01-01,2,2,2,0,2,0.2282632308789556,0.0662794405861889,0,1
1994-01-01,2,2,3,0,1,0.2937140463888293,0.2657800918756468,1,0
1994-01-01,2,2,5,0,2,0.6309761238544878,0.1247282539646155,0,0
1994-01-01,2,2,6,0,2,0.0921049399450751,0.7561967441692266,0,1
1994-01-01,2,2,2,1,1,0.4337011726795282,0.8280572257858008,0,1
1994-01-01,2,2,4,1,2,0.4308627633296438,0.9008070463507551,1,0
1994-01-01,2,2,7,1,2,0.4936850976503062,0.8743935605470545,1,1
1994-01-01,2,2,3,0,2,0.425830290295828,0.296256190686742,0,0
1994-01-01,2,2,4,0,2,0.3122612229724653,0.499120160082916,0,1
1994-01-01,2,2,6,1,2,0.4263513069628082,0.5490850988768434,1,1
1994-01-01,2,2,4,0,1,0.8933891631171348,0.7243248988321855,0,0
1994-01-01,2,2,2,0,1,0.9441600182038796,0.7696477308306344,1,0
1994-01-01,2,2,5,1,1,0.5018366758843366,0.4381660163323254,1,0
1994-01-01,2,2,4,0,1,0.6239529517921112,0.2842274080015016,1,0
1994-01-01,2,2,3,1,1,0.1156183950792957,0.273274042688736,1,0
1994-01-01,2,2,2,0,1,0.3172854818203209,0.5495245456186776,0,1
1994-01-01,2,2,4,1,3,0.4148262119536318,0.7503543680290186,1,1
1994-01-01,2,2,4,1,2,0.8663091578833659,0.9761174801115176,0,0
1994-01-01,2,2,6,1,1,0.2504553653965067,0.5737117624511141,0,0
1994-01-01,2,2,3,0,1,0.4830342642627043,0.2062483226011627,0,0
1994-01-01,2,2,5,0,1,0.985559785610705,0.8215243603427945,1,1
1994-01-01,2,2,3,0,2,0.5194851192598093,0.6354746931923895,0,1
1994-01-01,2,2,3,0,1,0.6128945257629677,0.3472297442333257,0,0
1994-01-01,2,2,3,1,2,0.1206286659903237,0.8955128365612693,1,1
1994-01-01,2,2,5,1,1,0.8263408005068332,0.6205484013637088,1,1
1994-01-01,2,2,3,0,1,0.6030601284109274,0.6370974578831353,1,0
1994-01-01,2,2,7,0,2,0.5450680064664649,0.1315551353717632,1,0
1994-01-01,2,2,2,1,1,0.3427638337743084,0.7850659413030022,1,1
1994-01-01,2,2,6,0,2,0.3041207890271841,0.9249463518526198,1,1
1994-01-01,2,2,3,1,1,0.4170222110247016,0.9449709276572554,1,1
1994-01-01,2,2,4,0,2,0.6813007657927966,0.0024041285635241,1,0
1994-01-01,2,2,2,0,2,0.8754568417951749,0.4361583806438107,1,1
1994-01-01,2,2,4,1,2,0.5104223374780111,0.3465128997234308,0,0
1994-01-01,2,2,3,0,2,0.6693137829622723,0.2549018302317325,0,1
1994-01-01,2,2,6,1,1,0.5859365525622129,0.0694868499614431,0,0
1994-01-01,2,2,4,0,1,0.6249035020955999,0.3566282058493504,1,1
1994-01-01,2,2,5,1,1,0.6746890509878248,0.6301911879094009,0,1
1994-01-01,2,2,4,0,1,0.8423424376202573,0.9467172029827208,1,0
1994-01-01,2,2,2,0,2,0.0831949883324387,0.2988721178840449,1,1
1994-01-01,2,2,4,0,2,0.7636828414433382,0.3486753667774789,0,0
1994-01-01,2,2,4,0,2,0.243666374536874,0.5869720033606508,1,0
1994-01-01,2,2,5,1,2,0.1942229605787708,0.803762981709282,1,1
1994-01-01,2,2,5,0,3,0.5724569574914731,0.8141930366639968,1,1
1994-01-01,2,2,3,0,1,0.0957125166123871,0.5467480704001944,0,1
1994-01-01,2,2,6,1,1,0.8853268262751396,0.4009903464414951,1,0
1994-01-01,2,2,4,1,2,0.6272489720512687,0.428738266407799,1,1
1994-01-01,2,2,4,1,1,0.7234163581899548,0.7224952345546344,1,0
1994-01-01,2,2,4,1,1,0.0161292066950168,0.9693341277404096,0,0
1994-01-01,2,2,2,0,2,0.5944318794450425,0.9410482198817216,0,0
1994-01-01,2,2,7,0,1,0.5567851923942887,0.527308270371835,1,1
1994-01-01,2,2,5,0,1,0.1589596441447227,0.7389860774078189,0,0
1994-01-01,2,2,3,0,2,0.1530705151247731,0.4759736503772201,0,1
1994-01-01,2,2,2,1,1,0.6955295287709109,0.3369260967155318,0,1
1994-01-01,2,2,5,1,2,0.3187664263818763,0.6933264861129679,0,0
1994-01-01,2,2,3,0,2,0.6919702955318197,0.8926867497942008,1,0
