,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ethnicity,sex,feature_0,country,state,date,outcome,predicted_outcome,sensitive_0,age
0,0,0,0,2,2,1,US,US,1994-01-01,0.2644303284472739,0.9289718583477576,0,7
1,1,1,1,2,2,1,US,US,1994-01-01,0.6329781472197615,0.0149714537564883,0,2
2,2,2,2,2,2,2,US,US,1994-01-01,0.7739367974577332,0.5192201142006865,1,6
3,3,3,3,2,2,2,US,US,1994-01-01,0.7905984136105629,0.859577154024553,0,3
4,4,4,4,2,2,2,US,US,1994-01-01,0.0599396222045435,0.77196058382514,0,4
5,5,5,5,2,2,2,US,US,1994-01-01,0.721021632769042,0.6917614591905685,1,5
6,6,6,6,2,2,2,US,US,1994-01-01,0.5771570999567345,0.1243700255746114,0,4
7,7,7,7,2,2,1,US,US,1994-01-01,0.8753707235798334,0.6193327328257607,0,3
8,8,8,8,2,2,1,US,US,1994-01-01,0.9817201901856434,0.489986656506521,1,4
9,9,9,9,2,2,1,US,US,1994-01-01,0.9766915667640126,0.8343091017959566,1,3
10,10,10,10,2,2,2,US,US,1994-01-01,0.3661824527042441,0.1208147551283775,1,4
11,11,11,11,2,2,2,US,US,1994-01-01,0.7512959254003322,0.8820632691921657,1,3
12,12,12,12,2,2,2,US,US,1994-01-01,0.0988235804863438,0.8621525222500463,0,3
13,13,13,13,2,2,2,US,US,1994-01-01,0.8166207283965271,0.5817374155768915,0,4
14,14,14,14,2,2,1,US,US,1994-01-01,0.906714274628838,0.001930700721835,0,3
15,15,15,15,2,2,2,US,US,1994-01-01,0.2755415890313737,0.6864081069086009,0,4
16,16,16,16,2,2,2,US,US,1994-01-01,0.9212117294891268,0.6811824052783706,1,6
17,17,17,17,2,2,1,US,US,1994-01-01,0.3758601408317795,0.1361436309697752,0,3
18,18,18,18,2,2,2,US,US,1994-01-01,0.6018380796400602,0.5580971351224293,1,4
19,19,19,19,2,2,1,US,US,1994-01-01,0.9438196811826666,0.2604224070234291,1,4
20,20,20,20,2,2,1,US,US,1994-01-01,0.6943325018958817,0.3359832744947463,0,6
21,21,21,21,2,2,1,US,US,1994-01-01,0.9761986911918402,0.8412074600680999,1,3
22,22,22,22,2,2,1,US,US,1994-01-01,0.7720578984975457,0.957845217976079,1,3
23,23,23,23,2,2,1,US,US,1994-01-01,0.6249857077148893,0.9413678977332685,0,2
24,24,24,24,2,2,1,US,US,1994-01-01,0.2625881101487855,0.3592377146259348,0,2
25,25,25,25,2,2,1,US,US,1994-01-01,0.9647188656483996,0.5966941484982264,1,4
26,26,26,26,2,2,2,US,US,1994-01-01,0.7028433725929115,0.7870776514008563,0,4
27,27,27,27,2,2,2,US,US,1994-01-01,0.2589366296455118,0.9562558758065238,0,3
28,28,28,28,2,2,1,US,US,1994-01-01,0.557293715611545,0.7960865052468405,0,5
29,29,29,29,2,2,2,US,US,1994-01-01,0.4213850594622855,0.5286563315374933,0,2
30,30,30,30,2,2,2,US,US,1994-01-01,0.0313197860530374,0.7864901750994095,1,6
31,31,31,31,2,2,1,US,US,1994-01-01,0.1260898574664631,0.5365203482311587,0,4
32,32,32,32,2,2,2,US,US,1994-01-01,0.9471181986776736,0.1517367505476704,1,7
33,33,33,33,2,2,2,US,US,1994-01-01,0.5228468150215644,0.8083140275557701,1,6
34,34,34,34,2,2,2,US,US,1994-01-01,0.6943887305634233,0.0627644481231626,0,4
35,35,35,35,2,2,2,US,US,1994-01-01,0.408294511923078,0.7418104586533024,1,3
36,36,36,36,2,2,2,US,US,1994-01-01,0.8692882377028537,0.8416269278562858,0,3
37,37,37,37,2,2,1,US,US,1994-01-01,0.2393240788121192,0.0028544879361361,0,4
38,38,38,38,2,2,1,US,US,1994-01-01,0.8617506956680986,0.5887518249925352,0,4
39,39,39,39,2,2,1,US,US,1994-01-01,0.7187840144830842,0.7529073842609549,1,5
40,40,40,40,2,2,1,US,US,1994-01-01,0.9415452132785394,0.1277768436934197,1,4
41,41,41,41,2,2,1,US,US,1994-01-01,0.7338386817627881,0.0654779216653795,0,3
42,42,42,42,2,2,1,US,US,1994-01-01,0.0739500160067839,0.5229840248385362,1,6
43,43,43,43,2,2,3,US,US,1994-01-01,0.8735610819175444,0.6839433131484111,0,2
44,44,44,44,2,2,2,US,US,1994-01-01,0.3955392010158574,0.847632564045486,1,4
45,45,45,45,2,2,1,US,US,1994-01-01,0.9765547763078578,0.6954532274359049,0,2
46,46,46,46,2,2,1,US,US,1994-01-01,0.7727880015876751,0.0099199193193589,1,3
47,47,47,47,2,2,1,US,US,1994-01-01,0.6416005402198399,0.9142900560277354,0,3
48,48,48,48,2,2,2,US,US,1994-01-01,0.279464326980087,0.8698602478564985,1,6
49,49,49,49,2,2,1,US,US,1994-01-01,0.2399711507607772,0.6161548435691985,1,3
50,50,50,50,2,2,2,US,US,1994-01-01,0.5675135215499792,0.6148241607559051,0,6
51,51,51,51,2,2,1,US,US,1994-01-01,0.5115714885314679,0.722590047761659,1,3
52,52,52,52,2,2,1,US,US,1994-01-01,0.8468753571928085,0.5132875161124009,0,3
53,53,53,53,2,2,2,US,US,1994-01-01,0.7715829566111989,0.1161765002990127,1,3
54,54,54,54,2,2,1,US,US,1994-01-01,0.8226211405788408,0.8872598830299482,1,2
55,55,55,55,2,2,2,US,US,1994-01-01,0.5674701907738351,0.8514860676070788,1,4
56,56,56,56,2,2,1,US,US,1994-01-01,0.8251019010549046,0.7339776872490629,1,4
57,57,57,57,2,2,2,US,US,1994-01-01,0.7227851496730904,0.3552857916495568,0,4
